text,label,priority
unhygienic food preparation in restaurant causing health risk,Health Department,High
potential fire risk due to electrical issue detected,Fire,Medium
street sign faded needs repainting Please take action,PWD,Low
public area beautification needed,Municipality,Low
malaria cases reported in residential area,Health Department,Medium
concrete pavement crumbling near market,PWD,Medium
health hazard due to animals and insects present nearby,Health Department,Medium
park encroachment by unauthorized vendors,Municipality,Medium
water tank needs paint refreshing Please take action,Water,Low
sparking from transformer in residential area near children,Electricity,High
rash driving near school affecting student safety,Police/Traffic,Medium
smoke coming from basement of office building,Fire,Medium
Reported: routine water maintenance scheduled,Water,Low
Reported: water pipe leakage on street resulting in water waste,Water,Medium
emergency traffic situation with multiple vehicle collision,Police/Traffic,High
illegal construction on public l&,Municipality,High
severe explosion hazard threatening surrounding buildings,Fire,High
paint fading on electrical pole,Electricity,Low
broken electric meter near market area,Electricity,Medium
critical live wire exposure threatening public safety,Electricity,High
short circuit in street light causing fire risk,Electricity,High
Reported: molestation incident reported by female citizen,Police/Traffic,High
routine traffic sign maintenance required,Police/Traffic,Low
minor crack in transformer box,Electricity,Low
"stray dogs attacking people in area, urgent animal control needed",Health Department,High
footpath uneven causing frequent falls and injuries,PWD,Medium
pest infestation near food storage locality,Health Department,Medium
critical disease outbreak requiring emergency response Please take action,Health Department,High
loose connection at transformer causing sparks intermittently,Electricity,Medium
pothole appearing on main street needs quick attention,PWD,Medium
street light not working on main road for 3 weeks,Electricity,Medium
frequent power tripping affecting daily operations,Electricity,Medium
illegal billboard obstruction on public path,Municipality,Medium
health center needs routine inspection and maintenance,Health Department,Low
slight discoloration in drinking water,Water,Medium
dustbin needs replacement in area,Municipality,Low
illegal construction on public land Please take action,Municipality,High
electric pole fallen and live wires on ground floor,Electricity,High
tree branches need pruning for maintenance,Municipality,Low
chemical fire in warehouse area Please take action,Fire,High
clinic needs equipment calibration Please take action,Health Department,Low
water leakage from main pipeline affecting entire neighborhood,Water,High
vector-borne disease indication requiring intervention and control,Health Department,Medium
water meter needs servicing and calibration,Water,Low
road needs regular maintenance and sweeping,PWD,Low
street light requires new bulb replacement,Electricity,Low
food poisoning outbreak in locality causing hospitalizations,Health Department,High
fire safety signage needs replacement in mall,Fire,Low
critical fire emergency requiring immediate response,Fire,High
street sign installation for park entrance,Municipality,Low
sparking from transformer in residential area near children,Electricity,High
"road marking faded, lines need repainting",Police/Traffic,Low
electricity meter not recording consumption properly,Electricity,Medium
illegal construction on public l&,Municipality,High
health checkup camp scheduling needed,Health Department,Low
major water tank rupture flooding the locality,Water,High
street cleaning not done for weeks,Municipality,Medium
dustbin overflow creating nuisance and smell in area,Municipality,Medium
traffic sign damaged needs replacement,Police/Traffic,Low
Reported: sanitation training program for food vendors,Health Department,Low
stray dogs roaming creating nuisance and safety hazard,Health Department,Medium
water supply stopped for more than 48 hours,Water,High
severe food contamination causing widespread illness urgently,Health Department,High
emergency sewage overflow creating hazardous condition,Water,High
emergency electrical hazard causing immediate danger,Electricity,High
malaria cases reported in residential area,Health Department,Medium
broken water tap wasting precious water resource Please take action,Water,Medium
building on fire with people trapped inside,Fire,High
health hazard due to animals and insects present nearby,Health Department,Medium
explosion near petrol pump causing severe damage,Fire,High
fire exit door needs repair in office,Fire,Low
smoke coming from basement of office building,Fire,Medium
malaria cases reported in residential area,Health Department,Medium
pest control needed for rat infestation urgently,Health Department,Medium
Reported: critical fire emergency requiring immediate response,Fire,High
Reported: fire equipment maintenance and inspection due,Fire,Low
rash driving near school affecting student safety,Police/Traffic,Medium
park grass needs regular cutting & maintenance,Municipality,Low
"road marking faded, lines need repainting Please take action",Police/Traffic,Low
routine health facility maintenance required,Health Department,Low
critical road damage causing traffic accident risk Please take action,PWD,High
"dead bird spreading disease, immediate disposal required",Health Department,High
accident scene without proper barricading setup,Police/Traffic,Medium
dustbin needs replacement in area,Municipality,Low
park fence needs minor repair and maintenance Please take action,Municipality,Low
Reported: pharmacy selling expired medicines illegally,Health Department,Medium
unhygienic food preparation in restaurant causing health risk,Health Department,High
illegal billboard obstruction on public path,Municipality,Medium
dangerous accident with severe injuries and casualties,Police/Traffic,High
critical live wire exposure threatening public safety Please take action,Electricity,High
severe pothole hazard causing vehicle damage & accidents,PWD,High
footpath uneven causing frequent falls and injuries,PWD,Medium
fire extinguisher not available in government building,Fire,Medium
garbage accumulation causing disease outbreak,Municipality,High
Reported: malaria cases reported in residential area,Health Department,Medium
dustbin needs replacement in area,Municipality,Low
Reported: vehicle collision on road needing intervention,Police/Traffic,Medium
routine traffic sign maintenance required Please take action,Police/Traffic,Low
"water supply irregular, only few hours daily Please take action",Water,Medium
illegal billboard obstruction on public path,Municipality,Medium
live wire hanging near this main road causing electric shock hazard,Electricity,High
Reported: food poisoning outbreak in locality causing hospitalizations,Health Department,High
electric pole fallen and live wires on ground floor,Electricity,High
live wire hanging near the main road causing electric shock hazard,Electricity,High
"stray dogs attacking people in area, urgent animal control needed",Health Department,High
molestation incident reported by female citizen,Police/Traffic,High
critical crime incident requiring immediate response,Police/Traffic,High
sewage treatment plant overflow causing environmental damage,Municipality,High
Reported: potential fire risk due to electrical issue detected,Fire,Medium
fire equipment maintenance and inspection due,Fire,Low
dangerous high voltage transformer sparking dangerously Please take action,Electricity,High
Reported: dustbin needs replacement in area,Municipality,Low
minor pothole requires filling in residential street,PWD,Low
street light needs new bulb replacement,Electricity,Low
water supply intermittent requiring urgent action,Water,Medium
emergency road collapse threatening public safety,PWD,High
sewage treatment plant overflow causing environmental damage Please take action,Municipality,High
stray dogs roaming creating nuisance and safety hazard,Health Department,Medium
Reported: clinic needs equipment calibration,Health Department,Low
street sign faded needs repainting Please take action,PWD,Low
"Reported: road marking faded, lines need repainting",Police/Traffic,Low
Reported: severe explosion hazard threatening surrounding buildings,Fire,High
Reported: park grass needs regular cutting and maintenance,Municipality,Low
traffic signal light needs cleaning from dust,Police/Traffic,Low
explosion near petrol pump causing severe damage,Fire,High
dangling wires on telephone poles creating hazard,Electricity,Medium
Reported: water tap handle broken needs fixing,Water,Low
power outage in hospital during emergency situation,Electricity,High
traffic noise pollution from horn usage,Police/Traffic,Medium
broken electric meter near market area,Electricity,Medium
"stray dogs attacking people in area, urgent animal control needed Please take action",Health Department,High
sewage treatment plant overflow causing environmental damage,Municipality,High
critical live wire exposure threatening public safety,Electricity,High
"robbery incident on main street, criminal still at large Please take action",Police/Traffic,High
minor water pipe repair needed at street corner,Water,Low
critical road damage causing traffic accident risk,PWD,High
mosquito breeding requiring immediate pest control action,Health Department,Medium
garbage piling requiring immediate cleanup action,Municipality,Medium
fire safety signage needs replacement in mall,Fire,Low
drainage pipe choked causing water accumulation,Water,Medium
building on fire with people trapped inside,Fire,High
"vehicle theft reported, urgent investigation needed",Police/Traffic,High
old water line needs replacement soon,Water,Low
Reported: emergency light needs battery replacement,Fire,Low
fire exit door needs repair in office Please take action,Fire,Low
unhygienic food preparation in restaurant causing health risk,Health Department,High
Reported: fire equipment maintenance and inspection due,Fire,Low
illegal billboard obstruction on public path,Municipality,Medium
water pipe partially damaged causing wastage,Water,Medium
traffic signal light needs cleaning from dust,Police/Traffic,Low
chemical fire in warehouse locality,Fire,High
Reported: damaged road surface needing urgent patching and repair,PWD,Medium
electricity meter not recording consumption properly Please take action,Electricity,Medium
short circuit in street light causing fire risk,Electricity,High
open dumping of waste creating health hazard in residential area,Municipality,High
vehicle collision on road needing intervention,Police/Traffic,Medium
drainage pipe choked causing water accumulation,Water,Medium
severe subsidence on road near government building,PWD,High
emergency road collapse threatening public safety,PWD,High
park encroachment by unauthorized vendors Please take action,Municipality,Medium
sparking from transformer in residential area near children,Electricity,High
street sign faded needs repainting,PWD,Low
sparking from transformer in residential area near children,Electricity,High
overflowing dustbin on street creating smell,Municipality,Medium
dangerous accident with severe injuries and casualties,Police/Traffic,High
water meter requires servicing and calibration,Water,Low
footpath uneven causing frequent falls and injuries,PWD,Medium
"assault case reported, victim in critical condition",Police/Traffic,High
street light not working on main road for 3 weeks,Electricity,Medium
smoke coming from basement of office building,Fire,Medium
street light not working on main road for 3 weeks Please take action,Electricity,Medium
health center needs routine inspection and maintenance,Health Department,Low
water meter needs servicing and calibration Please take action,Water,Low
Reported: clinic needs equipment calibration,Health Department,Low
dusty light fixtures need cleaning,Electricity,Low
"garbage not collected for several days, piling up",Municipality,Medium
clinic requires equipment calibration,Health Department,Low
street divider damaged after vehicle collision,PWD,Medium
street light needs new bulb replacement,Electricity,Low
routine water maintenance scheduled,Water,Low
severe subsidence on road near government building,PWD,High
Reported: pharmacy selling expired medicines illegally,Health Department,Medium
traffic violation with vehicles breaking red light,Police/Traffic,Medium
park encroachment by unauthorized vendors,Municipality,Medium
tree branches need pruning for maintenance,Municipality,Low
Reported: traffic noise pollution from horn usage,Police/Traffic,Medium
Reported: pickpocketing incidents in crowded market,Police/Traffic,Medium
Reported: multiple potholes on street requiring immediate repair,PWD,Medium
garbage accumulation causing disease outbreak,Municipality,High
routine fire safety equipment maintenance needed,Fire,Low
dustbin needs replacement in area,Municipality,Low
street light needs new bulb replacement Please take action,Electricity,Low
clinic requires equipment calibration,Health Department,Low
tree branches hanging dangerously near road Please take action,Municipality,Medium
fire exit door needs repair in office,Fire,Low
Reported: road needs regular maintenance and sweeping,PWD,Low
"stray dogs attacking people in area, urgent animal control needed",Health Department,High
manhole cover missing creating dangerous pit,PWD,High
broken sidewalk creating walking hazard for citizens Please take action,PWD,Medium
Reported: health hazard due to animals and insects present nearby,Health Department,Medium
street light not working on main road for 3 weeks,Electricity,Medium
fire in dense residential area threatening multiple buildings,Fire,High
street sign faded requires repainting,PWD,Low
minor water pipe repair needed at street corner,Water,Low
emergency health hazard affecting multiple people,Health Department,High
traffic violation with vehicles breaking red light,Police/Traffic,Medium
molestation incident reported by female citizen,Police/Traffic,High
critical water scarcity affecting hospital and homes,Water,High
asphalt patch needed on side street,PWD,Low
fire alarm system not working in hospital,Fire,Medium
public toilet not functioning for community,Municipality,Medium
minor pothole requires filling in residential street,PWD,Low
health awareness poster placement needed,Health Department,Low
pest control needed for rat infestation immediately,Health Department,Medium
vehicles parked illegally blocking emergency access,Police/Traffic,Medium
routine fire safety equipment maintenance needed,Fire,Low
paint fading on electrical pole Please take action,Electricity,Low
vehicles parked illegally blocking emergency access,Police/Traffic,Medium
routine road marking and sign maintenance,PWD,Low
traffic noise pollution from horn usage,Police/Traffic,Medium
"dengue outbreak suspected, vector surveillance urgently needed",Health Department,High
severe garbage accumulation causing environmental and health emergency,Municipality,High
"dead bird spreading disease, immediate disposal required",Health Department,High
critical road damage causing traffic accident risk,PWD,High
sanitation training program for food vendors,Health Department,Low
minor crack in transformer box,Electricity,Low
Reported: health checkup camp scheduling needed,Health Department,Low
"assault case reported, victim in critical condition",Police/Traffic,High
dustbin overflow creating nuisance and smell in area,Municipality,Medium
pothole appearing on main street needs quick attention,PWD,Medium
routine park maintenance and beautification required,Municipality,Low
broken sidewalk creating walking hazard for citizens,PWD,Medium
fire safety signage needs replacement in mall,Fire,Low
routine health facility maintenance required,Health Department,Low
street light needs new bulb replacement,Electricity,Low
traffic sign damaged needs replacement Please take action,Police/Traffic,Low
traffic signal light requires cleaning from dust,Police/Traffic,Low
minor water pipe repair needed at street corner,Water,Low
emergency light needs battery replacement,Fire,Low
Reported: road surface uneven near school area,PWD,Medium
dustbin overflow creating nuisance and smell in area,Municipality,Medium
traffic noise pollution from horn usage,Police/Traffic,Medium
potential fire risk due to electrical issue detected,Fire,Medium
paint fading on electrical pole,Electricity,Low
smoke coming from basement of office building Please take action,Fire,Medium
Reported: health awareness poster placement needed,Health Department,Low
Reported: critical fire emergency requiring immediate response,Fire,High
broken sidewalk creating walking hazard for citizens,PWD,Medium
routine fire safety equipment maintenance needed,Fire,Low
severe food contamination causing widespread illness immediately,Health Department,High
routine traffic sign maintenance required,Police/Traffic,Low
sewage treatment plant overflow causing environmental damage,Municipality,High
routine health facility maintenance required,Health Department,Low
health center needs routine inspection and maintenance,Health Department,Low
critical crime incident requiring immediate response,Police/Traffic,High
Reported: routine fire safety equipment maintenance needed,Fire,Low
Reported: manhole cover missing creating dangerous pit,PWD,High
Reported: street sign installation for park entrance,Municipality,Low
pest control needed for rat infestation urgently,Health Department,Medium
open dumping of waste creating health hazard in residential area Please take action,Municipality,High
Reported: water tank needs paint refreshing,Water,Low
electricity meter not recording consumption properly,Electricity,Medium
contaminated water supply causing health issues,Water,High
health awareness poster placement needed Please take action,Health Department,Low
sidewalk broken making it difficult for elderly and disabled,PWD,Medium
tree branches hanging dangerously near road Please take action,Municipality,Medium
Reported: power supply irregular and unstable in area,Water,Medium
traffic sign damaged needs replacement,Police/Traffic,Low
water tap handle broken needs fixing Please take action,Water,Low
sanitation training program for food vendors,Health Department,Low
accident with multiple injuries and vehicles involved Please take action,Police/Traffic,High
critical waste management crisis threatening public health,Municipality,High
street cleaning not done for weeks,Municipality,Medium
minor water pipe repair needed at street corner,Water,Low
stagnant water accumulating due to pipe blockage Please take action,Water,Medium
garbage piling requiring immediate cleanup action,Municipality,Medium
fire extinguisher not available in government building,Fire,Medium
Reported: illegal billboard obstruction on public path,Municipality,Medium
sparking from transformer in residential area near children,Electricity,High
clinic needs equipment calibration,Health Department,Low
critical fire emergency requiring immediate response,Fire,High
traffic congestion due to signal malfunction urgently needs fix,Police/Traffic,Medium
sidewalk broken making it difficult for elderly and disabled,PWD,Medium
old water line needs replacement soon Please take action,Water,Low
broken electric meter near market locality,Electricity,Medium
traffic violation with vehicles breaking red light Please take action,Police/Traffic,Medium
emergency fire situation with potential casualties,Fire,High
Reported: explosion near petrol pump causing severe damage,Fire,High
Reported: molestation incident reported by female citizen,Police/Traffic,High
broken sidewalk creating walking hazard for citizens,PWD,Medium
street cleaning not done for weeks Please take action,Municipality,Medium
park grass needs regular cutting and maintenance Please take action,Municipality,Low
"garbage not collected for several days, piling up",Municipality,Medium
stolen two wheeler reported in the area Please take action,Police/Traffic,Medium
Reported: water tap handle broken needs fixing,Water,Low
"dengue outbreak suspected, vector surveillance immediately needed",Health Department,High
damaged road surface needing urgent patching and repair,PWD,Medium
garbage accumulation causing disease outbreak,Municipality,High
old water line needs replacement soon,Water,Low
dusty light fixtures need cleaning,Electricity,Low
fire alarm system not working in hospital Please take action,Fire,Medium
Reported: public toilet not functioning for community,Municipality,Medium
power outage in hospital during emergency situation,Electricity,High
emergency road collapse threatening public safety,PWD,High
traffic signal light needs cleaning from dust,Police/Traffic,Low
"Reported: assault case reported, victim in critical condition",Police/Traffic,High
asphalt patch needed on side street Please take action,PWD,Low
sparking from transformer in residential area near children,Electricity,High
accident with multiple injuries and vehicles involved,Police/Traffic,High
street light not working on main road for 3 weeks,Electricity,Medium
short circuit in street light causing fire risk Please take action,Electricity,High
minor crack in transformer box,Electricity,Low
routine light repair and maintenance needed,Electricity,Low
open dumping of waste creating health hazard in residential area,Municipality,High
critical fire emergency requiring immediate response,Fire,High
water pipe partially damaged causing wastage,Water,Medium
sparking from transformer in residential locality near children,Electricity,High
Reported: dangling wires on telephone poles creating hazard,Electricity,Medium
encroachment issue needing removal and enforcement action,Municipality,Medium
Reported: paint fading on electrical pole,Electricity,Low
routine fire safety equipment maintenance needed,Fire,Low
severe pothole hazard causing vehicle damage and accidents,PWD,High
Reported: water supply intermittent requiring urgent action,Water,Medium
vehicles parked illegally blocking emergency access,Police/Traffic,Medium
critical disease outbreak requiring emergency response,Health Department,High
major water tank rupture flooding this area,Water,High
water meter needs servicing and calibration,Water,Low
burning smell indicating possible fire risk in building,Fire,Medium
explosion near petrol pump causing severe damage,Fire,High
building on fire with people trapped inside,Fire,High
stolen two wheeler reported in this area,Police/Traffic,Medium
emergency electrical hazard causing immediate danger Please take action,Electricity,High
sparking from transformer in residential area near children,Electricity,High
dustbin needs replacement in area,Municipality,Low
"dengue outbreak suspected, vector surveillance urgently needed",Health Department,High
"mosquito breeding in stagnant water, dengue prevention needed",Health Department,Medium
traffic sign damaged needs replacement,Police/Traffic,Low
multiple potholes on street requiring immediate repair,PWD,Medium
broken electric meter near market area Please take action,Electricity,Medium
pickpocketing incidents in crowded market,Police/Traffic,Medium
emergency light needs battery replacement,Fire,Low
street light not working on main road for 3 weeks,Electricity,Medium
water tank needs paint refreshing,Water,Low
Reported: building on fire with people trapped inside,Fire,High
contaminated water supply causing health issues,Water,High
contaminated water supply causing health issues,Water,High
fire in dense residential area threatening multiple buildings,Fire,High
critical water scarcity affecting hospital and homes,Water,High
water supply stopped for more than 48 hours,Water,High
fire safety training needed for staff,Fire,Low
Reported: health center needs routine inspection and maintenance,Health Department,Low
road needs repainting of lane markings,PWD,Low
fire extinguisher not available in government building,Fire,Medium
dangling wires on telephone poles creating hazard,Electricity,Medium
"dengue outbreak suspected, vector surveillance urgently needed",Health Department,High
minor electrical maintenance required,Electricity,Low
traffic signal light needs cleaning from dust,Police/Traffic,Low
"dead bird spreading disease, immediate disposal required Please take action",Health Department,High
power outage in hospital during emergency situation,Electricity,High
sparking from transformer in residential area near children Please take action,Electricity,High
Reported: old water line needs replacement soon,Water,Low
electric pole fallen and live wires on ground floor Please take action,Electricity,High
"bridge foundation showing cracks, structural integrity at risk",PWD,High
dustbin requires replacement in area,Municipality,Low
Reported: parking space marking needs clarification,Police/Traffic,Low
critical road damage causing traffic accident risk,PWD,High
fire extinguisher not available in government building,Fire,Medium
"dead bird spreading disease, immediate disposal required",Health Department,High
park bench requires repainting and repair,Municipality,Low
routine fire safety equipment maintenance needed,Fire,Low
severe explosion hazard threatening surrounding buildings,Fire,High
emergency electrical hazard causing immediate danger,Electricity,High
Reported: fire hazard condition needing urgent attention and inspection,Fire,Medium
water supply intermittent requiring urgent action,Water,Medium
water tank needs paint refreshing Please take action,Water,Low
stray dogs roaming creating nuisance and safety hazard,Health Department,Medium
"bridge foundation showing cracks, structural integrity at risk",PWD,High
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
power supply irregular and unstable in area,Water,Medium
minor water pipe repair needed at street corner,Water,Low
street light not working on main road for 3 weeks,Electricity,Medium
road surface deteriorated with multiple cracks,PWD,Medium
major pothole on main road causing accidents and vehicle damage,PWD,High
Reported: public area beautification needed,Municipality,Low
pest infestation near food storage area,Health Department,Medium
Reported: gas cylinder blast in residential building,Fire,High
Reported: critical waste management crisis threatening public health,Municipality,High
"road marking faded, lines need repainting",Police/Traffic,Low
multiple potholes on street requiring immediate repair,PWD,Medium
Reported: electricity meter not recording consumption properly,Electricity,Medium
water tank maintenance not done for months,Water,Medium
fire hazard condition needing immediate attention and inspection,Fire,Medium
traffic congestion due to signal malfunction urgently needs fix,Police/Traffic,Medium
Reported: damaged transformer needs urgent maintenance and fixing,Electricity,Medium
fire equipment maintenance and inspection due,Fire,Low
dustbin needs replacement in area,Municipality,Low
asphalt patch needed on side street,PWD,Low
health checkup camp scheduling needed,Health Department,Low
dustbin needs replacement in area Please take action,Municipality,Low
routine water maintenance scheduled,Water,Low
electric pole fallen and live wires on ground floor,Electricity,High
waste accumulation needing urgent collection and disposal,Municipality,Medium
water tap handle broken requires fixing,Water,Low
emergency electrical hazard causing immediate danger,Electricity,High
stray dogs roaming creating nuisance & safety hazard,Health Department,Medium
critical waste management crisis threatening public health,Municipality,High
accident scene without proper barricading setup,Police/Traffic,Medium
Reported: footpath uneven causing frequent falls and injuries,PWD,Medium
dangerous high voltage transformer sparking dangerously,Electricity,High
accident with multiple injuries & vehicles involved,Police/Traffic,High
Reported: asphalt patch needed on side street,PWD,Low
fire safety signage needs replacement in mall,Fire,Low
public toilet not functioning for community,Municipality,Medium
garbage accumulation causing disease outbreak,Municipality,High
water tank needs paint refreshing,Water,Low
"Reported: water supply irregular, only few hours daily",Water,Medium
pothole appearing on main street needs quick attention,PWD,Medium
"dead bird spreading disease, immediate disposal required",Health Department,High
street divider damaged after vehicle collision,PWD,Medium
Reported: street sign faded needs repainting,PWD,Low
garbage accumulation causing disease outbreak,Municipality,High
major pothole on main road causing accidents and vehicle damage,PWD,High
traffic sign damaged needs replacement,Police/Traffic,Low
Reported: street light not working on main road for 3 weeks,Electricity,Medium
routine light repair & maintenance needed,Electricity,Low
Reported: street light needs new bulb replacement,Electricity,Low
"Reported: garbage not collected for several days, piling up",Municipality,Medium
water leakage from main pipeline affecting entire neighborhood,Water,High
Reported: traffic signal malfunctioning at busy intersection causing congestion,Police/Traffic,Medium
"mosquito breeding in stagnant water, dengue prevention needed",Health Department,Medium
overflowing dustbin on street creating smell,Municipality,Medium
"helmet not used by riders, awareness campaign needed",Police/Traffic,Low
emergency encroachment blocking essential services and access,Municipality,High
severe subsidence on road near government building,PWD,High
traffic signal malfunctioning at busy intersection causing congestion,Police/Traffic,Medium
Reported: traffic congestion due to signal malfunction urgently needs fix,Police/Traffic,Medium
"bridge foundation showing cracks, structural integrity at risk Please take action",PWD,High
road surface uneven near school area,PWD,Medium
stagnant water accumulating due to pipe blockage,Water,Medium
loose connection at transformer causing sparks intermittently,Electricity,Medium
street cleaning not done for weeks,Municipality,Medium
traffic signal light requires cleaning from dust,Police/Traffic,Low
dusty light fixtures need cleaning,Electricity,Low
rash driving near school affecting student safety Please take action,Police/Traffic,Medium
Reported: critical water scarcity affecting hospital and homes,Water,High
mosquito breeding requiring immediate pest control action,Health Department,Medium
garbage accumulation causing disease outbreak,Municipality,High
short circuit in street light causing fire risk,Electricity,High
water meter needs servicing and calibration,Water,Low
emergency light needs battery replacement,Fire,Low
severe pothole hazard causing vehicle damage and accidents,PWD,High
contaminated water supply causing health issues,Water,High
broken sidewalk creating walking hazard for citizens,PWD,Medium
water pressure very low in residential locality,Water,Medium
dusty light fixtures need cleaning,Electricity,Low
tree branches need pruning for maintenance,Municipality,Low
minor electrical maintenance required,Electricity,Low
dustbin requires replacement in area,Municipality,Low
major pothole on main road causing accidents and vehicle damage,PWD,High
sewage overflow in residential area causing disease outbreak,Water,High
accident scene without proper barricading setup,Police/Traffic,Medium
Reported: voltage fluctuations damaging household appliances,Electricity,Medium
sewage treatment plant overflow causing environmental damage,Municipality,High
Reported: footpath uneven causing frequent falls and injuries,PWD,Medium
minor pothole needs filling in residential street,PWD,Low
encroachment blocking main road affecting public access Please take action,Municipality,High
park bench needs repainting and repair,Municipality,Low
major pothole on main road causing accidents and vehicle damage Please take action,PWD,High
Reported: emergency fire situation with potential casualties,Fire,High
garbage piling requiring immediate cleanup action Please take action,Municipality,Medium
slight discoloration in drinking water,Water,Medium
"stray dogs attacking people in area, urgent animal control needed",Health Department,High
Reported: footpath uneven causing frequent falls and injuries,PWD,Medium
voltage fluctuations damaging household appliances,Electricity,Medium
health center needs routine inspection and maintenance,Health Department,Low
traffic accident with fatality near school,Police/Traffic,High
public toilet not functioning for community,Municipality,Medium
routine road marking and sign maintenance Please take action,PWD,Low
critical water scarcity affecting hospital & homes,Water,High
power outage in hospital during emergency situation,Electricity,High
"bridge foundation showing cracks, structural integrity at risk Please take action",PWD,High
manhole cover missing creating dangerous pit,PWD,High
dusty light fixtures need cleaning,Electricity,Low
Reported: park fence needs minor repair and maintenance,Municipality,Low
water pipe partially damaged causing wastage,Water,Medium
road needs repainting of lane markings,PWD,Low
major water tank rupture flooding the area,Water,High
street sign faded requires repainting,PWD,Low
power supply irregular and unstable in area,Electricity,Medium
"light pole slightly tilted, needs straightening Please take action",Electricity,Low
routine road marking and sign maintenance,PWD,Low
emergency fire situation with potential casualties,Fire,High
parking space marking needs clarification,Police/Traffic,Low
severe pothole hazard causing vehicle damage and accidents,PWD,High
emergency health hazard affecting multiple people Please take action,Health Department,High
pickpocketing incidents in crowded market,Police/Traffic,Medium
road completely damaged affecting vehicle movement,PWD,High
power supply irregular and unstable in area Please take action,Water,Medium
critical fire emergency requiring immediate response,Fire,High
critical water scarcity affecting hospital and homes,Water,High
severe explosion hazard threatening surrounding buildings,Fire,High
fire hazard condition needing immediate attention and inspection,Fire,Medium
road needs repainting of lane markings,PWD,Low
vehicle collision on road needing intervention,Police/Traffic,Medium
electric pole fallen and live wires on ground floor Please take action,Electricity,High
road needs repainting of lane markings,PWD,Low
Reported: stray dogs roaming creating nuisance and safety hazard,Health Department,Medium
street divider damaged after vehicle collision,PWD,Medium
road needs regular maintenance & sweeping,PWD,Low
"water supply irregular, only few hours daily",Water,Medium
routine road marking & sign maintenance,PWD,Low
street sign faded needs repainting,PWD,Low
power supply irregular & unstable in area,Water,Medium
voltage fluctuations damaging household appliances Please take action,Electricity,Medium
health awareness poster placement needed,Health Department,Low
Reported: vehicles parked illegally blocking emergency access,Police/Traffic,Medium
severe garbage accumulation causing environmental & health emergency,Municipality,High
fire equipment maintenance and inspection due,Fire,Low
Reported: health checkup camp scheduling needed,Health Department,Low
concrete pavement crumbling near market,PWD,Medium
emergency traffic situation with multiple vehicle collision,Police/Traffic,High
electric pole fallen and live wires on ground floor,Electricity,High
sparking from transformer in residential locality near children,Electricity,High
Reported: critical crime incident requiring immediate response,Police/Traffic,High
sidewalk broken making it difficult for elderly & disabled,PWD,Medium
sewage overflow in residential area causing disease outbreak,Water,High
road surface deteriorated with multiple cracks,PWD,Medium
health awareness poster placement needed,Health Department,Low
public area beautification needed Please take action,Municipality,Low
fire extinguisher not available in government building Please take action,Fire,Medium
sanitation training program for food vendors Please take action,Health Department,Low
emergency traffic situation with multiple vehicle collision Please take action,Police/Traffic,High
sanitation training program for food vendors Please take action,Health Department,Low
pest infestation near food storage area,Health Department,Medium
water meter requires servicing and calibration,Water,Low
Reported: health awareness poster placement needed,Health Department,Low
vehicles parked illegally blocking emergency access,Police/Traffic,Medium
routine park maintenance & beautification required,Municipality,Low
traffic congestion due to signal malfunction urgently needs fix,Police/Traffic,Medium
Reported: routine road marking and sign maintenance,PWD,Low
pest control needed for rat infestation urgently,Health Department,Medium
smoke coming from basement of office building,Fire,Medium
drainage pipe choked causing water accumulation Please take action,Water,Medium
Reported: fire hazard condition needing urgent attention and inspection,Fire,Medium
unhygienic food preparation in restaurant causing health risk,Health Department,High
minor crack in transformer box,Electricity,Low
Reported: road completely damaged affecting vehicle movement,PWD,High
"light pole slightly tilted, needs straightening",Electricity,Low
open dumping of waste creating health hazard in residential area,Municipality,High
Reported: molestation incident reported by female citizen,Police/Traffic,High
traffic signal light needs cleaning from dust,Police/Traffic,Low
manhole cover missing creating dangerous pit,PWD,High
minor electrical maintenance required,Electricity,Low
Reported: road surface uneven near school area,PWD,Medium
vector-borne disease indication requiring intervention and control,Health Department,Medium
major pothole on main road causing accidents and vehicle damage,PWD,High
explosion near petrol pump causing severe damage,Fire,High
concrete pavement crumbling near market Please take action,PWD,Medium
"light pole slightly tilted, needs straightening",Electricity,Low
park bench requires repainting and repair,Municipality,Low
old water line needs replacement soon Please take action,Water,Low
burning smell indicating possible fire risk in building Please take action,Fire,Medium
burning smell indicating possible fire risk in building,Fire,Medium
"light pole slightly tilted, needs straightening",Electricity,Low
park fence needs minor repair & maintenance,Municipality,Low
water tank maintenance not done for months,Water,Medium
vehicle collision on road needing intervention Please take action,Police/Traffic,Medium
Reported: park grass needs regular cutting and maintenance,Municipality,Low
fire exit door needs repair in office,Fire,Low
slight discoloration in drinking water,Water,Medium
sewage overflow in residential area causing disease outbreak Please take action,Water,High
encroachment blocking main road affecting public access,Municipality,High
"garbage not collected for several days, piling up",Municipality,Medium
pickpocketing incidents in crowded market,Police/Traffic,Medium
street cleaning not done for weeks,Municipality,Medium
health hazard due to animals and insects present nearby,Health Department,Medium
dangling wires on telephone poles creating hazard,Electricity,Medium
burning smell indicating possible fire risk in building,Fire,Medium
building on fire with people trapped inside Please take action,Fire,High
pest control needed for rat infestation urgently,Health Department,Medium
emergency light needs battery replacement,Fire,Low
street sign faded needs repainting,PWD,Low
water meter needs servicing & calibration,Water,Low
fire extinguisher not available in government building Please take action,Fire,Medium
